date,product_id,product_category,units_sold,unit_price,stock_on_hand,reorder_point,is_promotion,discount_pct,day_of_week,month,supplier_lead_days
2023-01-22,P036,Beauty,,999.49,5,22,0,0.0,6,1,8
2023-05-08,P008,Beauty,,2036.5,64,20,0,0.0,0,5,10
2023-09-15,P049,Apparel,,1171.94,35,23,0,0.0,4,9,8
2023-01-02,P020,Electronics,,19771.09,119,45,0,0.0,0,1,8
2023-10-02,P021,Apparel,,2776.12,150,58,0,0.0,0,10,12
2023-08-08,P050,Electronics,,19636.04,204,78,0,0.0,1,8,2
2022-08-22,P027,Electronics,,11658.45,115,62,0,0.0,0,8,14
2023-11-06,P026,Home,,7200.73,101,42,0,0.0,0,11,8
2023-01-25,P001,Electronics,,23788.35,165,45,0,0.0,2,1,13
2022-05-01,P042,Apparel,,1193.58,65,31,0,0.0,6,5,8
2023-08-07,P014,Electronics,,225219.5,75,28,0,0.0,0,8,9
2023-09-20,P045,Electronics,,15723.88,42,21,0,0.0,2,9,13
2023-11-02,P042,Apparel,,1211.81,127,31,0,0.0,3,11,8
2022-10-12,P028,Apparel,,1136.51,85,51,0,0.0,2,10,8
2023-09-09,P049,Apparel,,1169.94,38,23,0,0.0,5,9,8
2022-12-04,P021,Apparel,,27370.5,217,58,0,0.0,6,12,12
2022-04-02,P024,Electronics,,2801.11,169,58,0,0.0,5,4,2
2022-09-05,P035,Sports,,1774.41,183,76,0,0.0,0,9,5
2023-01-08,P014,Electronics,,22423.98,81,28,0,0.0,6,1,9
2022-12-06,P020,Electronics,,19927.06,147,45,0,0.0,1,12,8
2022-11-20,P044,Sports,,2049.12,83,36,0,0.0,6,11,12
2022-06-29,P004,Apparel,,3301.37,114,40,0,0.0,2,6,14
2022-06-24,P005,Electronics,,8206.35,225,72,0,0.0,4,6,9
2023-07-28,P001,Electronics,,23690.83,59,45,0,0.0,4,7,13
2022-03-24,P006,Electronics,,9963.26,122,79,0,0.0,3,3,13
2023-05-27,P021,Apparel,,2791.02,264,58,0,0.0,5,5,12
2022-06-04,P014,Electronics,,23608.04,35,28,0,0.0,5,6,9
2023-11-10,P038,Electronics,,12917.41,195,52,0,0.0,4,11,4
2023-04-02,P005,Electronics,,8325.11,103,72,0,0.0,6,4,9
2022-01-18,P027,Electronics,,11400.2,216,62,0,0.0,1,1,14
2023-02-20,P001,Electronics,,23967.53,53,45,0,0.0,0,2,13
2023-12-16,P038,Electronics,,12960.62,164,52,0,0.0,5,12,4
2022-05-07,P037,Electronics,,5942.3,194,46,0,0.0,5,5,10
2022-11-20,P012,Sports,,4990.81,95,78,0,0.0,6,11,6
2023-08-06,P034,Sports,,25298.2,231,52,0,0.0,6,8,2
2022-07-25,P033,Electronics,,9546.61,257,74,0,0.0,0,7,13
2023-10-27,P048,Apparel,,19051.5,175,51,0,0.0,4,10,7
2022-08-14,P048,Apparel,,1880.07,114,51,0,0.0,6,8,7
2022-09-25,P019,Apparel,,765.88,34,33,0,0.0,6,9,4
2023-04-02,P006,Electronics,,10247.85,80,79,0,0.0,6,4,13
2023-03-13,P022,Electronics,,13842.39,38,34,0,0.0,0,3,11
2023-04-02,P038,Electronics,,13384.87,74,52,0,0.0,6,4,4
2023-11-27,P038,Electronics,,13508.92,99,52,1,47.3,0,11,4
2023-09-23,P011,Electronics,,6760.7,52,27,0,0.0,5,9,4
2023-06-10,P035,Sports,,1747.02,303,76,0,0.0,5,6,5
2022-10-13,P039,Home,,2601.33,78,43,0,0.0,3,10,12
2022-03-21,P044,Sports,,2018.75,82,36,0,0.0,0,3,12
2023-02-17,P030,Electronics,,22811.28,100,64,0,0.0,4,2,10
2022-05-09,P006,Electronics,,10260.67,245,79,0,0.0,0,5,13
2022-12-02,P001,Electronics,,24045.77,146,45,0,0.0,4,12,13
2022-08-07,P049,Apparel,,1121.47,33,23,0,0.0,6,8,8
2023-07-18,P035,Sports,,1738.93,102,76,0,0.0,1,7,5
2022-09-06,P024,Electronics,,2769.04,148,58,0,0.0,1,9,2
2022-03-29,P015,Electronics,,12511.35,123,52,0,0.0,1,3,8
2023-05-25,P040,Apparel,,1395.52,194,51,0,0.0,3,5,9
2023-08-09,P021,Apparel,,2815.84,86,58,0,0.0,2,8,12
2023-11-18,P008,Beauty,,1994.98,0,20,0,0.0,5,11,10
2022-06-29,P008,Beauty,,2031.87,65,20,0,0.0,2,6,10
2022-10-12,P009,Apparel,,3546.45,139,43,0,0.0,2,10,2
2023-09-02,P030,Electronics,,23939.04,192,64,0,0.0,5,9,10
2022-07-21,P022,Electronics,,14404.22,56,34,0,0.0,3,7,11
2023-11-20,P023,Electronics,,2507.8,55,32,0,0.0,0,11,4
2023-11-10,P007,Electronics,,14502.61,118,60,0,0.0,4,11,14
2022-01-05,P024,Electronics,,2685.45,136,58,0,0.0,2,1,2
2022-01-10,P017,Electronics,,19246.05,133,59,0,0.0,0,1,7
2023-08-21,P004,Apparel,,3346.13,157,40,0,0.0,0,8,14
2022-08-08,P036,Beauty,,982.69,59,22,0,0.0,0,8,8
2023-06-16,P036,Beauty,,961.89,42,22,0,0.0,4,6,8
2023-06-30,P031,Apparel,,724.86,150,47,0,0.0,4,6,13
2022-11-15,P006,Electronics,,10319.27,318,79,0,0.0,1,11,13
2022-09-21,P002,Sports,,5828.18,141,55,0,0.0,2,9,9
2022-08-02,P038,Electronics,,13365.13,125,52,0,0.0,1,8,4
2022-01-20,P042,Apparel,,1189.03,35,31,0,0.0,3,1,8
2022-07-10,P024,Electronics,,2798.0,72,58,0,0.0,6,7,2
2022-01-23,P038,Electronics,,13132.17,231,52,0,0.0,6,1,4
2023-02-24,P022,Electronics,,14422.42,85,34,0,0.0,4,2,11
2022-01-27,P041,Electronics,,17840.32,92,68,0,0.0,3,1,2
2022-02-25,P017,Electronics,,19319.98,106,59,0,0.0,4,2,7
2022-12-27,P015,Electronics,,12624.9,156,52,0,0.0,1,12,8
2023-08-28,P009,Apparel,,3470.99,62,43,0,0.0,0,8,2
2023-10-31,P030,Electronics,,23322.22,84,64,0,0.0,1,10,10
2023-05-04,P049,Apparel,,1143.34,59,23,0,0.0,3,5,8
2022-10-31,P043,Electronics,,13124.53,125,68,0,0.0,0,10,6
2023-05-27,P006,Electronics,,10509.78,88,79,0,0.0,5,5,13
2022-02-26,P024,Electronics,,2708.25,136,58,0,0.0,5,2,2
2023-04-07,P009,Apparel,,3468.01,108,43,0,0.0,4,4,2
2023-01-18,P042,Apparel,,1181.26,64,31,0,0.0,2,1,8
2023-02-26,P022,Electronics,,13654.24,67,34,0,0.0,6,2,11
2023-01-30,P023,Electronics,,2557.59,120,32,0,0.0,0,1,4
2022-07-02,P008,Beauty,,1993.14,89,20,0,0.0,5,7,10
2022-03-30,P034,Sports,,2471.93,85,52,0,0.0,2,3,2
2022-10-05,P013,Beauty,,2346.57,161,77,1,42.8,2,10,10
2023-01-09,P049,Apparel,,1135.15,100,23,0,0.0,0,1,8
2023-08-24,P031,Apparel,,735.67,116,47,0,0.0,3,8,13
2022-05-28,P005,Electronics,,8173.01,94,72,0,0.0,5,5,9
2022-02-14,P016,Electronics,,9072.65,47,43,0,0.0,0,2,6
2022-11-24,P029,Apparel,,1293.59,103,41,0,0.0,3,11,13
2023-08-26,P016,Electronics,,9215.17,82,43,0,0.0,5,8,6
2023-10-28,P036,Beauty,,988.61,27,22,0,0.0,5,10,8
2022-04-30,P020,Electronics,,19250.22,181,45,0,0.0,5,4,8
2022-10-11,P016,Electronics,,8935.28,81,43,0,0.0,1,10,6
2022-11-25,P011,Electronics,,6547.46,103,27,1,35.7,4,11,4
2022-03-23,P024,Electronics,,2778.16,60,58,0,0.0,2,3,2
2022-01-12,P012,Sports,,4915.18,191,78,0,0.0,2,1,6
2022-09-02,P016,Electronics,,9393.78,91,43,0,0.0,4,9,6
2022-01-03,P037,Electronics,,5681.45,69,46,0,0.0,0,1,10
2022-02-10,P007,Electronics,,14725.86,90,60,0,0.0,3,2,14
2023-08-15,P008,Beauty,,2087.85,46,20,0,0.0,1,8,10
2023-08-23,P022,Electronics,,13786.77,151,34,0,0.0,2,8,11
2022-01-30,P011,Electronics,,6703.25,49,27,0,0.0,6,1,4
2023-04-13,P005,Electronics,,8345.03,303,72,0,0.0,3,4,9
2023-04-15,P048,Apparel,,1939.74,103,51,0,0.0,5,4,7
2023-11-07,P030,Electronics,,23382.9,247,64,0,0.0,1,11,10
2023-11-16,P044,Sports,,2093.24,93,36,0,0.0,3,11,12
2023-04-14,P023,Electronics,,2605.83,79,32,0,0.0,4,4,4
2023-05-11,P021,Apparel,,2806.89,67,58,0,0.0,3,5,12
2022-05-05,P034,Sports,,2475.69,74,52,0,0.0,3,5,2
2022-02-26,P042,Apparel,,1154.39,119,31,0,0.0,5,2,8
2023-01-12,P033,Electronics,,9325.1,80,74,0,0.0,3,1,13
2023-02-11,P007,Electronics,,14685.68,143,60,0,0.0,5,2,14
2023-10-25,P021,Apparel,,2709.36,202,58,0,0.0,2,10,12
2022-12-09,P003,Home,,4803.43,149,79,0,0.0,4,12,10
2022-10-13,P009,Apparel,,3559.33,100,43,0,0.0,3,10,2
2022-02-21,P024,Electronics,,2724.98,165,58,0,0.0,0,2,2
2022-03-01,P040,Apparel,,1397.14,241,51,0,0.0,1,3,9
2022-10-19,P039,Home,,2669.47,157,43,0,0.0,2,10,12
2022-10-19,P032,Electronics,,6993.45,90,39,0,0.0,2,10,12
2022-06-05,P004,Apparel,,3367.97,142,40,0,0.0,6,6,14
2023-02-13,P022,Electronics,,14268.16,103,34,0,0.0,0,2,11
2022-05-05,P005,Electronics,,8335.4,159,72,0,0.0,3,5,9
2023-12-09,P035,Sports,,1714.5,117,76,0,0.0,5,12,5
2022-05-10,P011,Electronics,,6606.6,93,27,0,0.0,1,5,4
2023-12-11,P015,Electronics,,12103.96,130,52,0,0.0,0,12,8
2022-11-18,P049,Apparel,,1140.44,86,23,0,0.0,4,11,8
2022-10-30,P001,Electronics,,23977.11,131,45,0,0.0,6,10,13
2022-10-29,P029,Apparel,,1324.52,100,41,0,0.0,5,10,13
2023-06-24,P012,Sports,,4943.76,235,78,0,0.0,5,6,6
2023-06-06,P018,Apparel,,3142.68,41,20,0,0.0,1,6,4
2022-10-10,P008,Beauty,,2064.4,0,20,0,0.0,0,10,10
2022-02-07,P011,Electronics,,6431.71,76,27,0,0.0,0,2,4
2023-12-16,P014,Electronics,,23671.24,69,28,0,0.0,5,12,9
2022-07-07,P043,Electronics,,13561.7,199,68,0,0.0,3,7,6
2022-05-18,P032,Electronics,,6860.77,69,39,0,0.0,2,5,12
2022-01-24,P006,Electronics,,9925.95,262,79,0,0.0,0,1,13
2023-08-25,P014,Electronics,,22456.03,52,28,0,0.0,4,8,9
2023-04-10,P001,Electronics,,24194.61,191,45,0,0.0,0,4,13
2022-06-22,P045,Electronics,,16290.79,30,21,0,0.0,2,6,13
2022-02-17,P009,Apparel,,3539.98,112,43,0,0.0,3,2,2
2023-08-17,P038,Electronics,,13271.59,58,52,0,0.0,3,8,4
2023-11-18,P002,Sports,,5630.07,-154,55,0,0.0,5,11,9
2022-04-02,P028,Apparel,,1111.0,168,51,0,0.0,5,4,8
2023-09-29,P018,Apparel,,3145.01,36,20,0,0.0,4,9,4
2022-05-08,P033,Electronics,,9549.78,249,74,0,0.0,6,5,13
2022-09-20,P012,Sports,,4928.09,157,78,0,0.0,1,9,6
2022-12-19,P018,Apparel,,3134.86,44,20,0,0.0,0,12,4
2022-03-30,P049,Apparel,,1128.59,30,23,0,0.0,2,3,8
2022-07-22,P005,Electronics,,8269.38,123,72,0,0.0,4,7,9
2023-11-13,P021,Apparel,,2751.69,162,58,1,54.4,0,11,12
2023-01-15,P023,Electronics,,2612.66,82,32,1,22.1,6,1,4
2023-08-20,P025,Apparel,,1342.12,77,51,0,0.0,6,8,5
2023-01-22,P001,Electronics,,24123.36,58,45,0,0.0,6,1,13
2023-01-11,P021,Apparel,,2764.36,207,58,0,0.0,2,1,12
2022-06-15,P046,Home,,991.87,245,56,0,0.0,2,6,2
2022-08-28,P027,Electronics,,11344.61,94,62,0,0.0,6,8,14
2022-01-02,P004,Apparel,,3388.28,62,40,0,0.0,6,1,14
2022-10-21,P006,Electronics,,100465.20000000001,235,79,0,0.0,4,10,13
2022-06-13,P047,Electronics,,16173.86,86,21,0,0.0,0,6,6
2022-05-07,P030,Electronics,,23448.46,200,64,0,0.0,5,5,10
2023-08-30,P032,Electronics,,6961.43,90,39,0,0.0,2,8,12
2022-12-19,P045,Electronics,26.0,163626.9,83,21,0,0.0,0,12,13
2023-02-12,P050,Electronics,15.0,19325.55,136,78,0,0.0,6,2,2
2023-12-18,P001,Electronics,37.0,23709.27,138,45,0,0.0,0,12,13
2022-11-19,P006,Electronics,32.0,9906.6,286,79,0,0.0,5,11,13
2023-12-27,P043,Electronics,36.0,13650.4,284,68,0,0.0,2,12,6
2022-07-02,P038,Electronics,23.0,12795.27,116,52,0,0.0,5,7,4
2023-09-17,P003,Home,29.0,4723.9,257,79,0,0.0,6,9,10
2023-01-06,P034,Sports,19.0,2494.81,54,52,0,0.0,4,1,2
2022-03-27,P004,Apparel,30.0,3373.2,163,40,0,0.0,6,3,14
2022-08-08,P035,Sports,25.0,1732.74,236,76,0,0.0,0,8,5
2023-05-21,P036,Beauty,42.0,972.61,82,22,0,0.0,6,5,8
2022-03-30,P032,Electronics,19.0,6828.01,101,39,0,0.0,2,3,12
2023-01-12,P022,Electronics,17.0,14105.74,131,34,0,0.0,3,1,11
2023-05-22,P039,Home,31.0,2641.69,52,43,0,0.0,0,5,12
2023-04-29,P031,Apparel,35.0,721.74,137,47,0,0.0,5,4,13
2023-07-10,P001,Electronics,19.0,23619.66,118,45,0,0.0,0,7,13
2023-06-19,P005,Electronics,10.0,8003.85,294,72,0,0.0,0,6,9
2022-07-14,P035,Sports,15.0,1762.25,261,76,0,0.0,3,7,5
2023-01-09,P016,Electronics,13.0,8937.78,134,43,0,0.0,0,1,6
2022-03-21,P018,Apparel,29.0,3062.35,36,20,0,0.0,0,3,4
2023-04-06,P018,Apparel,29.0,3202.42,47,20,0,0.0,3,4,4
2022-01-31,P043,Electronics,13.0,13450.08,84,68,0,0.0,0,1,6
2022-10-17,P016,Electronics,24.0,9369.59,57,43,0,0.0,0,10,6
2023-08-16,P012,Sports,28.0,4755.86,294,78,0,0.0,2,8,6
2023-11-24,P011,Electronics,43.0,6452.45,50,27,1,24.4,4,11,4
2023-03-07,P050,Electronics,10.0,19753.52,276,78,0,0.0,1,3,2
2022-11-01,P041,Electronics,36.0,18336.33,213,68,0,0.0,1,11,2
2023-03-09,P044,Sports,25.0,20386.199999999997,58,36,1,11.0,3,3,12
2022-04-04,P017,Electronics,14.0,18279.89,138,59,0,0.0,0,4,7
2022-03-11,P005,Electronics,18.0,8256.41,129,72,0,0.0,4,3,9
2023-02-11,P043,Electronics,20.0,13837.76,174,68,0,0.0,5,2,6
2023-06-19,P045,Electronics,25.0,15763.03,28,21,0,0.0,0,6,13
2023-05-04,P032,Electronics,24.0,7223.12,66,39,0,0.0,3,5,12
2022-06-10,P048,Apparel,32.0,1953.43,103,51,0,0.0,4,6,7
2022-10-20,P016,Electronics,27.0,9190.72,144,43,0,0.0,3,10,6
2023-01-22,P031,Apparel,27.0,738.45,116,47,0,0.0,6,1,13
2023-06-21,P013,Beauty,34.0,2259.11,142,77,0,0.0,2,6,10
2022-12-23,P018,Apparel,40.0,3212.83,61,20,0,0.0,4,12,4
2023-08-10,P047,Electronics,14.0,16479.49,78,21,0,0.0,3,8,6
2022-01-11,P036,Beauty,37.0,996.47,96,22,0,0.0,1,1,8
2023-08-19,P024,Electronics,22.0,2747.65,70,58,0,0.0,5,8,2
2023-06-13,P039,Home,21.0,2554.98,129,43,0,0.0,1,6,12
2023-04-22,P030,Electronics,25.0,24033.29,120,64,0,0.0,5,4,10
2023-12-18,P024,Electronics,31.0,2782.69,100,58,0,0.0,0,12,2
2022-08-14,P047,Electronics,18.0,16952.52,83,21,0,0.0,6,8,6
2023-12-01,P033,Electronics,32.0,9416.13,181,74,0,0.0,4,12,13
2023-05-10,P005,Electronics,23.0,8020.78,224,72,0,0.0,2,5,9
2022-11-06,P017,Electronics,38.0,19295.72,101,59,0,0.0,6,11,7
2023-10-26,P030,Electronics,42.0,23216.59,106,64,0,0.0,3,10,10
2022-10-27,P042,Apparel,51.0,1197.97,118,31,0,0.0,3,10,8
2022-08-26,P002,Sports,24.0,5623.35,228,55,0,0.0,4,8,9
2023-01-28,P026,Home,22.0,7113.38,116,42,0,0.0,5,1,8
2022-01-22,P010,Home,21.0,2027.49,163,43,0,0.0,5,1,12
2022-05-28,P032,Electronics,33.0,6962.56,111,39,0,0.0,5,5,12
2022-11-08,P012,Sports,36.0,4736.97,150,78,0,0.0,1,11,6
2023-04-08,P004,Apparel,26.0,34224.299999999996,104,40,0,0.0,5,4,14
2022-03-24,P023,Electronics,22.0,2608.92,43,32,0,0.0,3,3,4
2023-02-16,P014,Electronics,16.0,23697.45,99,28,0,0.0,3,2,9
2022-11-28,P004,Apparel,74.0,3349.39,141,40,1,22.6,0,11,14
2023-07-23,P004,Apparel,32.0,3282.44,115,40,0,0.0,6,7,14
2023-04-20,P016,Electronics,25.0,8925.62,171,43,0,0.0,3,4,6
2023-10-19,P013,Beauty,91.0,2305.56,144,77,1,38.7,3,10,10
2022-10-25,P021,Apparel,43.0,2752.03,173,58,1,18.2,1,10,12
2022-03-01,P028,Apparel,24.0,1133.2,105,51,0,0.0,1,3,8
2023-08-17,P019,Apparel,33.0,757.81,98,33,0,0.0,3,8,4
2023-12-31,P001,Electronics,34.0,24327.33,53,45,0,0.0,6,12,13
2023-09-28,P019,Apparel,36.0,778.85,101,33,0,0.0,3,9,4
2022-10-31,P032,Electronics,35.0,6953.93,55,39,0,0.0,0,10,12
2023-05-15,P015,Electronics,24.0,12030.32,157,52,0,0.0,0,5,8
2022-06-14,P011,Electronics,18.0,6477.14,66,27,0,0.0,1,6,4
2022-06-15,P042,Apparel,37.0,1193.11,41,31,0,0.0,2,6,8
2022-02-28,P018,Apparel,21.0,3238.31,27,20,0,0.0,0,2,4
2022-03-14,P001,Electronics,15.0,24819.51,82,45,0,0.0,0,3,13
2022-01-27,P033,Electronics,23.0,9413.85,325,74,0,0.0,3,1,13
2022-12-02,P037,Electronics,36.0,5840.99,102,46,0,0.0,4,12,10
2022-07-07,P038,Electronics,14.0,13344.78,63,52,0,0.0,3,7,4
2022-10-28,P012,Sports,25.0,4763.55,284,78,0,0.0,4,10,6
2022-09-21,P001,Electronics,15.0,23724.24,209,45,0,0.0,2,9,13
2023-04-21,P015,Electronics,13.0,12136.29,231,52,0,0.0,4,4,8
2022-09-29,P023,Electronics,21.0,2534.62,88,32,0,0.0,3,9,4
2022-08-18,P016,Electronics,16.0,9181.69,112,43,0,0.0,3,8,6
2022-04-29,P050,Electronics,16.0,19869.93,193,78,0,0.0,4,4,2
2023-03-20,P039,Home,20.0,2526.4,151,43,0,0.0,0,3,12
2023-08-05,P029,Apparel,37.0,1283.14,176,41,0,0.0,5,8,13
2022-12-08,P015,Electronics,28.0,12492.21,101,52,0,0.0,3,12,8
2022-08-09,P006,Electronics,14.0,10040.23,92,79,0,0.0,1,8,13
2023-07-23,P018,Apparel,37.0,3167.6,43,20,0,0.0,6,7,4
2023-02-27,P033,Electronics,17.0,9708.62,116,74,0,0.0,0,2,13
2023-02-20,P035,Sports,20.0,1760.68,100,76,0,0.0,0,2,5
2022-11-14,P029,Apparel,48.0,1336.48,106,41,0,0.0,0,11,13
2023-03-11,P040,Apparel,28.0,1432.95,58,51,0,0.0,5,3,9
2022-01-29,P014,Electronics,16.0,23650.09,85,28,0,0.0,5,1,9
2022-05-03,P034,Sports,25.0,2451.87,106,52,0,0.0,1,5,2
2023-11-27,P013,Beauty,122.0,2281.85,102,77,1,47.2,0,11,10
2022-01-03,P048,Apparel,29.0,1947.6,111,51,0,0.0,0,1,7
2023-10-22,P023,Electronics,34.0,2512.72,120,32,0,0.0,6,10,4
2022-01-26,P035,Sports,17.0,1707.61,100,76,0,0.0,2,1,5
2023-02-05,P022,Electronics,14.0,14360.64,84,34,0,0.0,6,2,11
2023-03-27,P028,Apparel,24.0,1108.29,74,51,0,0.0,0,3,8
2022-01-08,P010,Home,21.0,2101.06,83,43,0,0.0,5,1,12
2023-04-14,P003,Home,17.0,4926.09,195,79,0,0.0,4,4,10
2023-08-11,P029,Apparel,32.0,1328.35,144,41,0,0.0,4,8,13
2022-01-19,P042,Apparel,23.0,1178.28,66,31,0,0.0,2,1,8
2023-03-18,P004,Apparel,36.0,3324.02,42,40,0,0.0,5,3,14
2022-10-17,P020,Electronics,32.0,19507.02,86,45,0,0.0,0,10,8
2022-10-09,P048,Apparel,54.0,1863.35,100,51,0,0.0,6,10,7
2023-11-21,P032,Electronics,38.0,7127.69,131,39,0,0.0,1,11,12
2022-05-02,P024,Electronics,18.0,2680.44,145,58,0,0.0,0,5,2
2022-07-31,P023,Electronics,17.0,2567.39,121,32,0,0.0,6,7,4
2022-11-29,P026,Home,42.0,7152.42,56,42,0,0.0,1,11,8
2022-06-07,P045,Electronics,20.0,16031.97,76,21,0,0.0,1,6,13
2023-01-02,P043,Electronics,15.0,13307.04,302,68,0,0.0,0,1,6
2022-12-31,P049,Apparel,69.0,1175.42,76,23,0,0.0,5,12,8
2023-02-13,P020,Electronics,9.0,19710.4,55,45,0,0.0,0,2,8
2022-04-23,P048,Apparel,38.0,1925.3,204,51,0,0.0,5,4,7
2023-08-23,P016,Electronics,13.0,9072.15,124,43,0,0.0,2,8,6
2023-04-21,P012,Sports,34.0,4703.49,137,78,0,0.0,4,4,6
2022-07-08,P031,Apparel,23.0,715.39,57,47,0,0.0,4,7,13
